meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
AP Race International London 2023,01:05.93,28/05/2023,Women 100 Breaststroke LCM Female,NED,Netherlands,"SCHOUTEN, Tes",F,31/12/2000,,,183,184,920,London,GBR
19th FINA World Championships Budapest 2022,01:05.93,20/06/2022,Women 100 Breaststroke LCM Female,ITA,Italy,"PILATO, Benedetta",F,18/01/2005,,,183,185,920,Budapest,HUN
FINA/airweave Swimming World Cup 2015,01:05.93,06/11/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,183,186,929,Dubai,UAE
15th FINA World Championships 2013,01:05.93,30/07/2013,Women 100 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,183,187,934,Barcelona,ESP
World Aquatics Championships - Fukuoka 2023,01:05.94,25/07/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"JACOBY, Lydia",F,29/02/2004,,,188,188,919,Fukuoka,JPN
FINA Swimming World Cup 2018,01:05.94,08/09/2018,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,188,189,919,Kazan,RUS
US Olympic Team Trials - Swimming,01:05.94,27/06/2016,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,188,190,929,Omaha,USA
Phillips 66 National Championships (50m),01:05.95,30/06/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,191,191,919,Indianapolis,USA
2017 NC SwimMAC UltraSwim,01:05.95,02/06/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"MEILI, Katie",F,16/04/1991,,,191,192,928,Charlotte,USA
World Aquatics Championships - Fukuoka 2023,01:05.96,24/07/2023,Women 100 Breaststroke LCM Female,IRL,Ireland,"MC SHARRY, Mona",F,21/08/2000,,,193,193,919,Fukuoka,JPN
Eindhoven Qualification Meet 2023,01:05.96,09/04/2023,Women 100 Breaststroke LCM Female,NED,Netherlands,"SCHOUTEN, Tes",F,31/12/2000,,,193,194,919,Eindhoven,NED
22nd Commonwealth Games 2022,01:05.96,01/08/2022,Women 100 Breaststroke LCM Female,RSA,South Africa,"VAN NIEKERK, Lara",F,13/05/2003,,,193,195,919,Birmingham,GBR
TYR Pro Swim Series San Antonio 2022,01:05.96,31/03/2022,Women 100 Breaststroke LCM Female,GER,Germany,"ELENDT, Anna",F,04/09/2001,,,193,196,919,San Antonio,USA
US Olympic Team Trials - Wave II,01:05.96,14/06/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"GALAT, Bethany",F,10/08/1995,,,193,197,919,Omaha,USA
Russian National Swimming Cup Final,01:05.97,27/07/2023,Women 100 Breaststroke LCM Female,CLB,Club,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,198,198,918,kazan,RUS
European Championships 2022,01:05.97,13/08/2022,Women 100 Breaststroke LCM Female,ITA,Italy,"PILATO, Benedetta",F,18/01/2005,,,198,199,918,Rome,ITA
19th FINA World Championships Budapest 2022,01:05.97,19/06/2022,Women 100 Breaststroke LCM Female,CHN,People's Republic of China,"TANG, Qianting",F,14/03/2004,,,198,200,918,Budapest,HUN
