meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,50.41,01/08/2009,Men 100 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,32,32,,Rome,ITA
Hancock Prospecting Australian Swimming Trials 2021,50.45,17/06/2021,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,33,33,944,Adelaide,AUS
US National Championships (50m),50.45,08/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,33,34,963,San Antonio,USA
World Aquatics Championships - Fukuoka 2023,50.46,29/07/2023,Men 100 Butterfly LCM Male,USA,United States of America,"ROSE, Dare",M,01/11/2002,,,35,35,941,Fukuoka,JPN
Hungarian National Championships (50m),50.47,27/03/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,36,36,943,Budapest,HUN
13th FINA World Championships 2009,50.48,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,37,37,,Rome,ITA
US National Championships (50m),50.50,27/07/2018,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,38,38,960,Irvine,USA
World Aquatics Championships - Fukuoka 2023,50.53,28/07/2023,Men 100 Butterfly LCM Male,USA,United States of America,"ROSE, Dare",M,01/11/2002,,,39,39,937,Fukuoka,JPN
16th FINA World Championships 2015,50.56,08/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,40,40,956,Kazan,RUS
13th FINA World Championships 2009,50.56,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,40,41,,Rome,ITA
Olympic Games Beijing 2008,50.58,16/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,42,42,1026,Beijing,CHN
13th FINA World Championships 2009,50.59,31/07/2009,Men 100 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,43,43,,Rome,ITA
Olympic Games Beijing 2008,50.59,16/08/2008,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,43,44,1026,Beijing,CHN
French Elite Championships,50.61,16/06/2023,Men 100 Butterfly LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,45,45,932,Rennes,FRA
World Aquatics Championships - Fukuoka 2023,50.62,28/07/2023,Men 100 Butterfly LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,46,46,932,Fukuoka,JPN
