meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
US Olympic Team Trials - Wave II,58.35,14/06/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,64,66,960,Omaha,USA
FINA/airweave Swimming World Cup 2015,58.37,29/10/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,67,67,987,Tokyo,JPN
Phillips 66 National Championships (50m),58.39,30/06/2023,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,68,68,952,Indianapolis,USA
19th FINA World Championships Budapest 2022,58.39,25/06/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,68,69,952,Budapest,HUN
Phillips 66 International Team Trials 2022,58.39,29/04/2022,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,30/06/2004,,,68,70,952,Greensboro,USA
15th FINA World Championships 2013,58.39,04/08/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,68,71,986,Barcelona,ESP
Olympic Games London 2012,58.39,29/07/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,68,72,986,London,GBR
19th FINA World Championships Budapest 2022,58.40,25/06/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,73,73,951,Budapest,HUN
19th FINA World Championships Budapest 2022,58.40,20/06/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,73,74,951,Budapest,HUN
Canadian Swimming Trials 2022,58.41,05/04/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,75,75,951,Victoria,CAN
13th Pan Pacific Championships 2018,58.41,10/08/2018,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,75,76,984,Tokyo,JPN
Australian Swimming Trials,58.42,14/06/2023,Women 100 Backstroke LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,77,77,951,Melbourne,AUS
Australian National Championships (50m),58.42,18/04/2023,Women 100 Backstroke LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,77,78,951,Gold Coast,AUS
SNSW State Open Championships 2021,58.42,19/03/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,77,79,956,Sydney,AUS
Canadian Swimming Trials 2017,58.42,06/04/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,77,80,984,Victoria,CAN
15th FINA World Championships 2013,58.42,30/07/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,77,81,984,Barcelona,ESP
Olympic Games Tokyo 2020,58.43,27/07/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,82,82,956,Tokyo,JPN
Atlanta Classic 2021,58.43,15/05/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,82,83,956,Atlanta,USA
2011 Canada Cup,58.43,25/11/2011,Women 100 Backstroke LCM Female,CAN,Canada,"RUSSELL, Sinead",F,15/06/1993,,,82,84,984,Toronto,CAN
European Championships 2021,58.44,20/05/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,85,85,956,Budapest,HUN
Olympic Games Tokyo 2020,58.45,27/07/2021,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,86,86,955,Tokyo,JPN
Counsilman Classic 2019,58.45,15/06/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,86,87,977,Indianapolis,USA
Olympic Games Rio 2016,58.45,08/08/2016,Women 100 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,86,88,983,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,58.46,26/07/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,89,89,955,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,58.47,24/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,90,90,948,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,58.48,24/07/2023,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,91,91,948,Fukuoka,JPN
Canadian Swimming Trials 2022,58.48,05/04/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,91,92,948,Victoria,CAN
May High Performance Test Event,58.48,07/05/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,91,93,954,Toronto,CAN
13th FINA World Championships 2009,58.48,27/07/2009,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,08/05/1990,,,91,94,,Rome,ITA
Australian National Championships (50m),58.49,20/05/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,95,95,947,Adelaide,AUS
European Championships 2021,58.49,21/05/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,95,96,953,Budapest,HUN
US Olympic Team Trials - Wave II,58.50,14/06/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,12/10/1994,,,97,97,953,Omaha,USA
18th FINA World Championships 2019,58.50,22/07/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,97,98,974,Gwangju,KOR
Olympic Games London 2012,58.50,04/08/2012,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,97,99,980,London,GBR
FINA/airweave Swimming World Cup 2015,58.51,07/11/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,100,100,980,Dubai,UAE
17th FINA World Championships 2017,58.53,30/07/2017,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,101,101,979,Budapest,HUN
TYR Pro Swim Series Westmont 2023,58.54,14/04/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,102,102,945,Westmont,USA
26th International Meeting Uster 2018,58.54,04/02/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,102,103,977,Uster,SUI
17th FINA World Championships 2017,58.54,30/07/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,102,104,978,Budapest,HUN
Counsilman Classic 2019,58.55,15/06/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,105,105,972,Indianapolis,USA
Canadian Swimming Trials 2019,58.55,03/04/2019,Women 100 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,28/05/2000,,,105,106,972,Toronto,CAN
World Aquatics Championships - Fukuoka 2023,58.56,30/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,107,107,944,Fukuoka,JPN
Olympic Games Tokyo 2020,58.56,26/07/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,107,108,950,Tokyo,JPN
TYR Pro Swim Series Des Moines 2020,58.56,07/03/2020,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,107,109,950,Des Moines,USA
16th FINA World Championships 2015,58.56,03/08/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,107,110,977,Kazan,RUS
19th FINA World Championships Budapest 2022,58.57,19/06/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,111,111,943,Budapest,HUN
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,58.57,29/05/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,111,112,943,Canet-en-Roussillon,FRA
Hancock Prospecting Australian Swimming Trials 2021,58.57,13/06/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,111,113,949,Adelaide,AUS
US National Championships (50m),58.57,30/06/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,111,114,977,Indianapolis,USA
Olympic Games London 2012,58.57,03/08/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,111,115,977,London,GBR
17th FINA World Championships 2017,58.58,25/07/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,28/02/1997,,,116,116,976,Budapest,HUN
Phillips 66 National Championships (50m),58.59,30/06/2023,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,30/06/2004,,,117,117,942,Indianapolis,USA
Phillips 66 International Team Trials 2022,58.59,29/04/2022,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,25/01/2000,,,117,118,942,Greensboro,USA
