meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Q!-Cup,58.68,02/04/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,96,96,910,Heidelberg,GER
Olympic Games Tokyo 2020,58.68,24/07/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,96,97,910,Tokyo,JPN
Belarus National Championships (50m),58.68,21/04/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,96,98,910,Brest,BLR
Eindhoven Qualification Meet 2021,58.68,10/04/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,96,99,910,Eindhoven,NED
European Championships 2014,58.68,18/08/2014,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,96,100,988,Berlin,GER
19th FINA World Championships Budapest 2022,58.69,18/06/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,101,101,910,Budapest,HUN
Rotterdam Qualification Meet 2020,58.69,05/12/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,101,102,910,Rotterdam,NED
Olympic Games Rio 2016,58.69,07/08/2016,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,101,103,961,Rio de Janeiro,BRA
World Aquatics Championships - Fukuoka 2023,58.71,23/07/2023,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,104,104,909,Fukuoka,JPN
Eindhoven Qualification Meet 2022,58.71,10/04/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,104,105,909,Eindhoven,NED
14th FINA World Championships 2011,58.71,25/07/2011,Men 100 Breaststroke LCM Male,NOR,Norway,"DALE OEN, Alexander",M,21/05/1985,,,104,106,993,Shanghai,CHN
