meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,52.00,27/07/2021,Men 100 Backstroke LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09/07/2000,,,12,12,991,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,52.04,30/07/2023,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,13,13,974,Fukuoka,JPN
US Olympic Team Trials,52.08,25/06/2012,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,14,14,991,Omaha,USA
19th FINA World Championships Budapest 2022,52.09,19/06/2022,Men 100 Backstroke LCM Male,GRE,Greece,"CHRISTOU, Apostolos",M,01/11/1996,,,15,15,986,Budapest,HUN
FINA/airweave Swimming World Cup 2015,52.11,06/11/2015,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,16,16,990,Dubai,UAE
European Championships 2010,52.11,10/08/2010,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,16,17,990,Budapest,HUN
19th FINA World Championships Budapest 2022,52.12,19/06/2022,Men 100 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,18,18,984,Budapest,HUN
Russian National Championships (50m),52.12,05/04/2021,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,18,19,984,Kazan,RUS
US Olympic Team Trials - Swimming,52.12,27/06/2016,Men 100 Backstroke LCM Male,USA,United States of America,"PLUMMER, David",M,09/10/1985,,,18,20,989,Omaha,USA
European Championships 2021,52.13,23/05/2021,Men 100 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,21,21,983,Budapest,HUN
Olympic Games Tokyo 2020,52.15,25/07/2021,Men 100 Backstroke LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,09/07/2000,,,22,22,982,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,52.16,24/07/2023,Men 100 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,23,23,968,Fukuoka,JPN
Olympic Games London 2012,52.16,30/07/2012,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,23,24,987,London,GBR
18th FINA World Championships 2019,52.17,22/07/2019,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,25,25,981,Gwangju,KOR
